Symbol,Date,Time,Open,High,Low,Close,TotalVolume,,,,,,,,,,,,,,,,Open
2317,2024/5/9,09:01:00,169.5,170,169.5,169.5,1639,,,,,,,,,,,,,,,,170
2317,2024/5/9,09:02:00,170,170,169.5,169.5,387,,,,,,,,,,,,,,,,
2317,2024/5/9,09:03:00,170,170,169.5,170,244,,,,,,,,,,,,,,,,
2317,2024/5/9,09:04:00,170,170,169.5,170,149,,,,,,,,,,,,,,,,
2317,2024/5/9,09:05:00,170,170,169.5,170,265,,,,,,,,,,,,,,,,
2317,2024/5/9,09:06:00,170,171,169.5,171,2819,,,,,,,,,,,,,,,,
2317,2024/5/9,09:07:00,171,171,170.5,171,372,,,,,,,,,,,,,,,,
2317,2024/5/9,09:08:00,171,171,170.5,171,1177,,,,,,,,,,,,,,,,
2317,2024/5/9,09:09:00,171,171,170.5,171,423,,,,,,,,,,,,,,,,
2317,2024/5/9,09:10:00,171,171.5,170.5,171.5,1258,,,,,,,,,,,,,,,,
2317,2024/5/9,09:11:00,171.5,171.5,171,171.5,354,,,,,,,,,,,,,,,,
2317,2024/5/9,09:12:00,171.5,172.5,171,172.5,3507,,,,,,,,,,,,,,,,
2317,2024/5/9,09:13:00,172,173,172,173,3964,,,,,,,,,,,,,,,,
2317,2024/5/9,09:14:00,173,173.5,173,173.5,1763,,,,,,,,,,,,,,,,
2317,2024/5/9,09:15:00,173,174,173,174,1959,,,,,,,,,,,,,,,,
2317,2024/5/9,09:16:00,174,174.5,173.5,174.5,1333,,,,,,,,,,,,,,,,
2317,2024/5/9,09:17:00,174,174.5,174,174.5,972,,,,,,,,,,,,,,,,
2317,2024/5/9,09:18:00,174.5,174.5,174,174.5,1183,,,,,,,,,,,,,,,,
2317,2024/5/9,09:19:00,174,174.5,173.5,173.5,1710,,,,,,,,,,,,,,,,
2317,2024/5/9,09:20:00,173.5,174.5,173.5,174,2430,,,,,,,,,,,,,,,,
2317,2024/5/9,09:21:00,174,175,174,175,1810,,,,,,,,,,,,,,,,
2317,2024/5/9,09:22:00,174.5,175,174,175,2106,,,,,,,,,,,,,,,,
2317,2024/5/9,09:23:00,175,175,174.5,175,663,,,,,,,,,,,,,,,,
2317,2024/5/9,09:24:00,175,175,174.5,175,366,,,,,,,,,,,,,,,,
2317,2024/5/9,09:25:00,175,175,174.5,175,498,,,,,,,,,,,,,,,,
2317,2024/5/9,09:26:00,174.5,175,174,174,1656,,,,,,,,,,,,,,,,
2317,2024/5/9,09:27:00,174,174.5,174,174,940,,,,,,,,,,,,,,,,
2317,2024/5/9,09:28:00,174,174.5,173.5,174,700,,,,,,,,,,,,,,,,
2317,2024/5/9,09:29:00,174,174,173.5,174,275,,,,,,,,,,,,,,,,
2317,2024/5/9,09:30:00,173.5,174,173.5,174,515,,,,,,,,,,,,,,,,
2317,2024/5/9,09:31:00,174,174.5,173.5,174,1285,,,,,,,,,,,,,,,,
2317,2024/5/9,09:32:00,174,174.5,174,174,205,,,,,,,,,,,,,,,,
2317,2024/5/9,09:33:00,174,174.5,174,174.5,138,,,,,,,,,,,,,,,,
2317,2024/5/9,09:34:00,174.5,175,174,174.5,1993,,,,,,,,,,,,,,,,
2317,2024/5/9,09:35:00,175,175,174.5,174.5,503,,,,,,,,,,,,,,,,
2317,2024/5/9,09:36:00,175,175,174.5,175,198,,,,,,,,,,,,,,,,
2317,2024/5/9,09:37:00,175,175,174.5,174.5,347,,,,,,,,,,,,,,,,
2317,2024/5/9,09:38:00,174.5,175,174,174.5,2074,,,,,,,,,,,,,,,,
2317,2024/5/9,09:39:00,174.5,174.5,174,174.5,275,,,,,,,,,,,,,,,,
2317,2024/5/9,09:40:00,174.5,174.5,174,174,165,,,,,,,,,,,,,,,,
2317,2024/5/9,09:41:00,174.5,174.5,174,174.5,115,,,,,,,,,,,,,,,,
2317,2024/5/9,09:42:00,174,174.5,174,174,104,,,,,,,,,,,,,,,,
2317,2024/5/9,09:43:00,174.5,174.5,174,174.5,150,,,,,,,,,,,,,,,,
2317,2024/5/9,09:44:00,174.5,174.5,173.5,173.5,1495,,,,,,,,,,,,,,,,
2317,2024/5/9,09:45:00,173.5,174.5,173.5,174,666,,,,,,,,,,,,,,,,
2317,2024/5/9,09:46:00,174.5,174.5,174,174,175,,,,,,,,,,,,,,,,
2317,2024/5/9,09:47:00,174.5,174.5,174,174,163,,,,,,,,,,,,,,,,
2317,2024/5/9,09:48:00,174,174.5,174,174,168,,,,,,,,,,,,,,,,
2317,2024/5/9,09:49:00,174,174.5,174,174,109,,,,,,,,,,,,,,,,
2317,2024/5/9,09:50:00,174,174.5,174,174,360,,,,,,,,,,,,,,,,
2317,2024/5/9,09:51:00,174,174.5,173.5,174.5,331,,,,,,,,,,,,,,,,
2317,2024/5/9,09:52:00,174.5,174.5,174,174,120,,,,,,,,,,,,,,,,
2317,2024/5/9,09:53:00,174,174.5,174,174,715,,,,,,,,,,,,,,,,
2317,2024/5/9,09:54:00,174,174.5,174,174,213,,,,,,,,,,,,,,,,
2317,2024/5/9,09:55:00,174.5,174.5,174,174,254,,,,,,,,,,,,,,,,
