Symbol,Date,Time,Open,High,Low,Close,TotalVolume
2382,2024/5/9,09:01:00,274,274.5,272.5,273.5,1171
2382,2024/5/9,09:02:00,273,273.5,272.5,272.5,148
2382,2024/5/9,09:03:00,272.5,273,272.5,272.5,316
2382,2024/5/9,09:04:00,272.5,274.5,272,274.5,319
2382,2024/5/9,09:05:00,274.5,275.5,274.5,275.5,644
2382,2024/5/9,09:06:00,275,276,275,275.5,386
2382,2024/5/9,09:07:00,275.5,275.5,275,275.5,271
2382,2024/5/9,09:08:00,275.5,275.5,274,274.5,335
2382,2024/5/9,09:09:00,274,274.5,273,273.5,296
2382,2024/5/9,09:10:00,273.5,274,273.5,274,27
2382,2024/5/9,09:11:00,273.5,274,273,273.5,260
2382,2024/5/9,09:12:00,273.5,273.5,273,273.5,42
2382,2024/5/9,09:13:00,273.5,273.5,273,273.5,65
2382,2024/5/9,09:14:00,273.5,273.5,273,273.5,57
2382,2024/5/9,09:15:00,273.5,274,273,274,63
2382,2024/5/9,09:16:00,274,274.5,274,274.5,62
2382,2024/5/9,09:17:00,274.5,274.5,273.5,274,164
2382,2024/5/9,09:18:00,274,274.5,273.5,274,206
2382,2024/5/9,09:19:00,274,275,274,275,161
2382,2024/5/9,09:20:00,274.5,275,274.5,275,32
2382,2024/5/9,09:21:00,274.5,275,274.5,274.5,51
2382,2024/5/9,09:22:00,274.5,275,274.5,275,34
2382,2024/5/9,09:23:00,274.5,276,274.5,276,558
2382,2024/5/9,09:24:00,276,276,275.5,275.5,146
2382,2024/5/9,09:25:00,275.5,276,275,275,243
2382,2024/5/9,09:26:00,275.5,275.5,275,275,30
2382,2024/5/9,09:27:00,275,275.5,275,275.5,33
2382,2024/5/9,09:28:00,275.5,275.5,274.5,274.5,395
2382,2024/5/9,09:29:00,274.5,274.5,273.5,274,374
2382,2024/5/9,09:30:00,274.5,274.5,274,274,74
2382,2024/5/9,09:31:00,274.5,275,274,275,130
2382,2024/5/9,09:32:00,274.5,274.5,274.5,274.5,31
2382,2024/5/9,09:33:00,274.5,275,274.5,275,53
2382,2024/5/9,09:34:00,274.5,274.5,274.5,274.5,20
2382,2024/5/9,09:35:00,274.5,275,273.5,274,240
2382,2024/5/9,09:36:00,274,274,273.5,274,41
2382,2024/5/9,09:37:00,274,274.5,273.5,274.5,75
2382,2024/5/9,09:38:00,274.5,275,274,274,59
2382,2024/5/9,09:39:00,274.5,275,274,275,186
2382,2024/5/9,09:40:00,274.5,275,274.5,275,33
2382,2024/5/9,09:41:00,275,275.5,274.5,275.5,259
2382,2024/5/9,09:42:00,275,275.5,275,275,158
2382,2024/5/9,09:43:00,275.5,275.5,275,275,27
2382,2024/5/9,09:44:00,275,275.5,275,275.5,22
2382,2024/5/9,09:45:00,275.5,276.5,275,276.5,973
2382,2024/5/9,09:46:00,276.5,277.5,276,277.5,837
2382,2024/5/9,09:47:00,277.5,278,277,277.5,479
2382,2024/5/9,09:48:00,277.5,277.5,277,277.5,126
2382,2024/5/9,09:49:00,277,277.5,276.5,277,259
2382,2024/5/9,09:50:00,276.5,277,276.5,276.5,84
2382,2024/5/9,09:51:00,276.5,277,276,276.5,260
2382,2024/5/9,09:52:00,276.5,276.5,276,276.5,55
2382,2024/5/9,09:53:00,276.5,277,276.5,276.5,87
2382,2024/5/9,09:54:00,276.5,276.5,276,276.5,155
2382,2024/5/9,09:55:00,276.5,276.5,276,276,21
2382,2024/5/9,09:56:00,276.5,276.5,276,276.5,18
2382,2024/5/9,09:57:00,276,276.5,276,276,78
2382,2024/5/9,09:58:00,276,276.5,276,276,46
2382,2024/5/9,09:59:00,276.5,276.5,276,276,36
2382,2024/5/9,10:00:00,276,276.5,275.5,275.5,263
2382,2024/5/9,10:01:00,276,276,275.5,275.5,71
2382,2024/5/9,10:02:00,275.5,276,275.5,275.5,29
2382,2024/5/9,10:03:00,276,276,275,275,72
2382,2024/5/9,10:04:00,275,275.5,275,275,28
2382,2024/5/9,10:05:00,275,275.5,275,275,62
2382,2024/5/9,10:06:00,275,275.5,275,275,26
2382,2024/5/9,10:07:00,275,275.5,275,275.5,23
2382,2024/5/9,10:08:00,275,275.5,275,275.5,104
2382,2024/5/9,10:09:00,275,275.5,275,275,21
2382,2024/5/9,10:10:00,275.5,275.5,275,275,36
2382,2024/5/9,10:11:00,275,275.5,275,275.5,39
2382,2024/5/9,10:12:00,275,275.5,274.5,274.5,71
2382,2024/5/9,10:13:00,275,275,274.5,275,75
2382,2024/5/9,10:14:00,275,275,274.5,274.5,23
2382,2024/5/9,10:15:00,275,275,274.5,275,24
2382,2024/5/9,10:16:00,275,275.5,274.5,275.5,115
2382,2024/5/9,10:17:00,275,275.5,274.5,275,133
2382,2024/5/9,10:18:00,275,275.5,274.5,275.5,16
2382,2024/5/9,10:19:00,275,275.5,274.5,275,33
2382,2024/5/9,10:20:00,275,275,274.5,275,23
2382,2024/5/9,10:21:00,274.5,275,274.5,275,23
2382,2024/5/9,10:22:00,275,275,274,274.5,239
2382,2024/5/9,10:23:00,274,274.5,274,274.5,170
2382,2024/5/9,10:24:00,274,274.5,273.5,273.5,229
2382,2024/5/9,10:25:00,273.5,274,273.5,273.5,103
2382,2024/5/9,10:26:00,273.5,274,273.5,274,131
2382,2024/5/9,10:27:00,273.5,274,273.5,273.5,55
2382,2024/5/9,10:28:00,273.5,274,273.5,274,34
2382,2024/5/9,10:29:00,274,274,273.5,273.5,41
2382,2024/5/9,10:30:00,273.5,274,273.5,273.5,39
2382,2024/5/9,10:31:00,273.5,274,273.5,274,20
2382,2024/5/9,10:32:00,273.5,274,273.5,274,170
